address,area,project,price,property_status,price_per_m2,bedroom,toilet,floornumber,property_legal,furniture,balconydirection,direction,apartment_feature
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,9 tỷ",Saigon Riverside Complex Q7,53 m²,Đã bàn giao,"35,85 triệu/m²",1 phòng,1 phòng,,,,,,
"Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","2,6 tỷ",Diamond Riverside (City Gate Towers 2),73 m²,Đã bàn giao,"35,62 triệu/m²",2 phòng,,20,,Nội thất cao cấp,,Đông Bắc,
"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","2,1 tỷ",City Garden,70 m²,Đã bàn giao,30 triệu/m²,2 phòng,,,Đã có sổ,,,,
"Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",4 tỷ,Docklands Sài Gòn,106 m²,Đã bàn giao,"37,74 triệu/m²",3 phòng,,,Đã có sổ,Nội thất đầy đủ,,,Căn góc
"Đường Xa lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,9 tỷ",Saigon Gateway,68 m²,Đã bàn giao,"27,94 triệu/m²",2 phòng,2 phòng,,,,,,
"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","2,91 tỷ",Akari City,75 m²,Đã bàn giao,"38,8 triệu/m²",2 phòng,2 phòng,,,,,,
"16, Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","1,75 tỷ",Melody Residences,1 m²,Đã bàn giao,"1,75 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","1,95 tỷ",Green Town Bình Tân,63 m²,Đã bàn giao,"30,95 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","3,72 tỷ",Eco Green Sài Gòn,72 m²,Đã bàn giao,"51,67 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 99, Số 99 Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",7 tỷ,Cosmo City,123 m²,Chưa bàn giao,"56,91 triệu/m²",3 phòng,2 phòng,19,Đã có sổ,Nội thất cao cấp,Đông,,
"195, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","1,74 tỷ",Topaz City,1 m²,Đã bàn giao,"1,74 tỷ/m²",2 phòng,2 phòng,,,,,,
"Số 383, Bình Trưng Tây, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,85 tỷ",La Astoria,89 m²,Đã bàn giao,"32,02 triệu/m²",3 phòng,3 phòng,,,,,,
"KĐT City Horse Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,05 tỷ",Lexington Residence,48.5 m²,Đã bàn giao,"42,27 triệu/m²",1 phòng,1 phòng,,,,,,
"Phan Chu Trinh, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","1,64 tỷ",Chung cư 1050 Chu Văn An,69 m²,Đã bàn giao,"23,77 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Đường Tạ Quang Bửu, Phường 6, Quận 8, TP.HCM, Phường 6, Quận 8, Tp Hồ Chí Minh","2,55 tỷ",The Pegasuite,60 m²,Đã bàn giao,"42,5 triệu/m²",2 phòng,1 phòng,,,,,,
"Đường Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,3 tỷ",The Sun Avenue,56 m²,Đã bàn giao,"58,93 triệu/m²",2 phòng,,,,,,,
"50, Phan Văn Khỏe, Phường 2, Quận 6, Tp Hồ Chí Minh","1,52 tỷ",Lucky Palace,62 m²,Đã bàn giao,"24,52 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,55 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"38,06 triệu/m²",2 phòng,,,,,,,
"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,9 tỷ",Opal Riverside,71 m²,Đã bàn giao,"26,76 triệu/m²",2 phòng,2 phòng,16,Đã có sổ,Nội thất cao cấp,,,
"Đường Quốc lộ 1A, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","1,33 tỷ",An Gia Star,48 m²,Chưa bàn giao,"27,71 triệu/m²",2 phòng,1 phòng,,,,,,
"Xa Lộ Hà Nội, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,1 tỷ",Masteri Thảo Điền,63 m²,Đã bàn giao,"49,21 triệu/m²",2 phòng,2 phòng,17,,,Đông Nam,Tây Bắc,
